Gesture A,"[1.0821792, 0.46926352, -0.6895301, 15.05474, -1.3599066, 6.751649, 4.6160207, 3.5529952, -1.2066777, -0.22026655, -0.19153613, 0.22984336]","[10.084377, 8.350976, 3.122039, 14.221559, -4.7788267, 16.970102, 4.663905, 7.3549876, 8.954314, 7.9104424, 7.9487495, 8.063671]","[3.1316159, 7.2113357, 0.63206923, 8.178593, -2.0207062, 2.3654714, -0.6895301, -0.15322891, 5.9567738, 5.4204726, 5.267244, 5.4779334]"
Gesture A,"[0.79487497, 1.6376339, 24.14313, -2.96881, 3.1124623, 3.9552212, 4.5298295, -1.0726024, 0.15322891]","[7.52737, 3.514688, 14.393941, -6.445191, 10.113108, 7.1347213, 3.2082303, 8.925584, 8.283937]","[3.6870706, -0.6512229, 1.2354081, 1.2545617, -1.3311762, 4.146757, -3.0550013, 3.9839516, 4.5298295]"
Gesture L,"[0.63206923, 0.25857377, 21.260511, 0.62249243, 0.50757074, 0.21068975, -0.545878, -0.58418524, -0.93852705, -0.90021986, -0.30645782]","[9.56723, -3.1316159, 25.273193, 0.90021986, 10.563218, 6.205771, 8.082825, 8.418014, 8.532935, 8.772355, 8.7532015]","[1.484405, -6.8091097, 13.742718, 3.016694, 6.4164605, 6.7229185, 4.060566, 3.9839516, 4.5394063, 3.8977604, 5.1523223]"
Gesture L,"[1.3982137, -3.7445314, 12.401965, -5.841852, -2.1930888, -1.1971009, -1.3311762]","[5.6407394, 0.41180268, 11.281479, 8.303091, 7.441179, 7.8912888, 7.843405]","[-2.0590134, 2.825158, 1.8770541, 9.002198, 6.1866174, 5.659893, 4.6160207]"
Gesture R,"[1.5705963, 2.873042, -5.631162, 24.98589, 10.160992, -1.0055647, -6.9527617, 10.984597, 3.6583402, 3.9360676, 1.7046716, 0.7565677, -0.93852705, -0.5746084]","[9.873688, 12.373235, -7.192182, 23.93244, 6.090849, -2.8443117, 10.697293, 6.6750345, 5.2480903, 14.058752, 6.0716953, 6.6079965, 7.776367, 7.8529816]","[1.1683705, 1.3982137, -3.7732618, 16.500837, 1.4748282, -2.566584, 17.659632, -6.991069, 4.7405195, 8.360553, 6.0621185, 4.050989, 5.6215854, 5.209783]"
Gesture X,"[-0.1340753, 0.89064306, 2.2218192, 0.90021986, 2.8538885, 22.744917, -1.0630256, -4.912902, 24.162283, -0.24899697, 1.1875241, 0.7278373, 0.8523358]","[8.42759, 8.42759, 10.553641, 5.4204726, -1.7717092, 23.884556, 1.2737153, -2.72939, 14.518439, 3.6391866, 6.9240313, 7.1347213, 6.7803793]","[7.0006456, 3.8977604, 4.501099, -2.767697, -0.7278373, 18.511967, 2.8060043, 9.174581, 7.0102224, 6.3685765, 4.7022123, 6.253655, 6.6367273]"
Gesture A,"[0.20111294, 1.2545617, 6.291962, 1.5227122, -2.5570073, 4.855441, 1.934515, 10.563218, -3.0933087, 1.2449849, 0.5363012, -0.19153613, -0.16280572]","[8.236053, 9.155427, 15.02601, 7.029376, -4.9703627, 18.751389, 8.389283, 9.193734, 8.63828, 9.442732, 9.050082, 8.916007, 9.136273]","[3.3997664, 4.462792, 5.3342814, 0.90979666, -6.397307, 7.651869, 6.493075, -8.274361, 10.275913, 4.050989, 3.2369606, 3.6008794, 4.261679]"
Gesture A,"[0.45968673, -0.58418524, 7.422025, -0.22984336, 5.506664, -1.5993267, 12.823344, -4.31914, 1.3311762, 1.2258313]","[8.762778, 6.301539, 17.630901, -5.583278, 10.716447, 8.647857, 8.858546, 8.494628, 9.136273, 9.011775]","[3.371036, 2.4899697, 10.228029, -4.261679, 0.5554548, 8.925584, -8.494628, 8.00621, 4.280833, 5.4300494]"
Gesture A,"[0.076614454, 5.9280434, 2.1452048, -1.0534488, 0.5746084, 6.991069, -2.9975405, 1.6663644, 1.1109096, -0.1436521]","[7.97748, 16.261417, 6.8761473, -3.4284968, 21.030668, 6.8665705, 7.8146744, 9.902418, 9.050082, 9.375694]","[2.1643584, 6.033388, -0.17238252, -3.8786068, 16.692375, -0.31603462, 3.2848446, 3.1316159, 2.3750482, 2.2026656]"
Gesture A,"[0.17238252, 2.2505496, 3.3997664, -0.22984336, -3.1794999, 0.59376204, 6.301539, -3.016694, 0.17238252, 0.4405331, 0.009576807, 0.21068975, -0.02873042, 0.15322891, 0.038307227, 0.21068975]","[8.322245, 11.128249, 12.200851, -0.45968673, 10.266336, 7.7189064, 5.9280434, 9.404425, 9.011775, 9.394848, 9.279925, 9.308656, 9.289502, 9.270349, 9.241618, 9.289502]","[2.2697031, 3.5913026, 5.3725886, -2.6527755, 5.104438, 3.8307228, -3.4093432, 5.554548, 3.3518825, 3.6296098, 3.2561142, 3.2465374, 3.2848446, 3.4380736, 3.371036, 3.323152]"
